result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,epochs,generate_time,num_of_runs,timestamp
"1,2,3,4,5","1018,3601,3160,996,225",histogram_q1,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4730,586,772,513,235,499,71,163,53,21,301,1,43,4,58,151,6,2,6,2,129,9,9,8,6,73,4,9,25,10,501",histogram_q2,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","5125,459,640,370,142,507,66,109,42,9,368,1,37,6,28,245,6,8,5,3,225,5,7,6,7,106,8,7,25,10,418",histogram_q3,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","308,110,116,188,142,246,330,312,330,305,547,592,806,618,683,1061,603,594,370,361,378",histogram_ppincimp,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
"0,1","709,8291",histogram_insured,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
"1,2,3,4","567,2038,2602,3793",histogram_ppeducat,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,22809,sum_q1,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,37713,sum_q2,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,37829,sum_q3,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,117243,sum_ppincimp,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,8291,sum_insured,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,27621,sum_ppeducat,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_q1,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_q2,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_q3,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_ppincimp,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_insured,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_ppeducat,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,2.5343333333333335,avg_q1,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,4.190333333333333,avg_q2,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,4.203222222222222,avg_q3,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,13.027,avg_ppincimp,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,0.9212222222222223,avg_insured,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
,3.069,avg_ppeducat,-1,9000,1,1624480021.0043423,,500,500,5.91032600402832,0,2021-05-13T16:23:43
"1,2,3,4,5","1988,2321,2111,1864,716",histogram_q1,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1660,462,393,521,517,491,304,203,393,485,387,234,260,282,252,222,180,145,105,85,79,87,59,59,53,75,150,218,244,210,185",histogram_q2,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1456,315,310,309,435,442,224,175,261,468,401,154,162,190,223,194,206,264,271,331,331,295,216,117,80,107,146,195,248,247,227",histogram_q3,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","229,258,244,229,255,255,304,317,354,382,503,643,617,902,1167,727,386,461,308,284,175",histogram_ppincimp,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
"0,1","7422,1578",histogram_insured,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
"1,2,3,4","2680,2240,2702,1378",histogram_ppeducat,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,23999,sum_q1,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,84493,sum_q2,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,104613,sum_q3,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,109970,sum_ppincimp,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,1578,sum_insured,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,20778,sum_ppeducat,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_q1,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_q2,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
,9000,count_q3,0.25,9000,1,1624480021.0043423,smartnoise_patectgan,500,500,5.91032600402832,0,2021-05-13T16:23:43
