result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,epochs,generate_time,num_of_runs,timestamp
"55,57,58,62,63,65,66,67,68,72,73,74,75","267,216,429,107,156,407,144,134,152,310,385,137,156",histogram_age,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
"0,1","2386,614",histogram_sex,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,195877,sum_age,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,614,sum_sex,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,278337.2034,sum_test_time,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,56559.758799999996,sum_motor_updrs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,77378.78820000001,sum_total_updrs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,16.64806,sum_jitter_percent,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,0.1251695,sum_jitter_abs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,90.25684000000001,sum_shimmer,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,831.5350000000001,sum_shimmer_db,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,1930.42226,sum_dfa,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,614.78172,sum_ppe,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_age,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_sex,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_test_time,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_motor_updrs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_total_updrs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_jitter_percent,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_jitter_abs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_shimmer,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_shimmer_db,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_dfa,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,3000,count_ppe,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,65.29233333333333,avg_age,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,0.20466666666666666,avg_sex,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,92.77906779999999,avg_test_time,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,18.853252933333334,avg_motor_updrs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,25.792929400000002,avg_total_updrs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,0.005549353333333334,avg_jitter_percent,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
,4.172316666666666e-05,avg_jitter_abs,-1,3000,1,1621249925.019551,,500,300,22.58455204963684,0,2021-05-17T10:31:48
